image_id,label
1266,5
1862,4
311,5
3362,4
3652,2
1423,5
27,3
1415,3
314,2
1624,4
1973,3
1090,2
28,1
1593,5
2121,2
1751,3
70,4
1855,5
1575,3
545,4
1477,4
1546,4
2000,5
1463,2
2845,2
1153,5
1526,1
1521,5
2044,2
1718,1
1411,5
1976,5
1729,1
1793,5
900,4
1902,2
161,1
918,5
2279,4
906,5
909,2
635,1
3597,2
1470,3
1348,2
1725,4
566,1
1132,5
1809,4
540,4
3901,2
1335,3
1590,5
3939,4
535,4
733,2
1721,5
567,3
12,3
122,3
2291,5
2448,2
1413,1
1133,5
2120,2
54,1
2580,2
1789,4
1444,2
233,1
1222,5
1073,3
598,3
1555,2
2179,5
1750,5
768,2
2928,1
1861,1
2712,4
792,5
420,3
2727,2
134,5
717,2
1746,2
275,4
1455,4
2067,4
710,2
387,5
286,5
1669,2
1287,1
58,5
3813,4
639,5
3449,2
1656,3
1910,4
